feature,n_subject_pairs,rest_mean,workload_mean,mean_difference_workload_minus_rest,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,cohens_dz,abs_cohens_dz,paired_t_q_fdr,wilcoxon_q_fdr
stat_Cz_var,36,129.2230834133551,100.81775774635497,-28.405325667000152,-4.937680379281824,1.9363034715068247e-05,74.0,1.2062606401741505e-05,-0.8229467298802801,0.8229467298802801,0.0006636806123360422,0.00021578662563115358
hjorth_Cz_activity,36,129.2230834133551,100.81775774635497,-28.405325667000152,-4.937680379281824,1.9363034715068247e-05,74.0,1.2062606401741505e-05,-0.8229467298802801,0.8229467298802801,0.0006636806123360422,0.00021578662563115358
band_abs_C4_beta,36,12.973640360477388,10.482382086764524,-2.4912582737128646,-4.924222194662288,2.0165103924462187e-05,55.0,1.636421075090766e-06,-0.8207036991101109,0.8207036991101109,0.0006636806123360422,8.782126436320443e-05
band_abs_C3_alpha,36,32.547510905792016,20.55978019281081,-11.987730712981211,-4.919345150363554,2.046382814168448e-05,54.0,1.458160113543272e-06,-0.8198908583938695,0.8198908583938695,0.0006636806123360422,8.782126436320443e-05
band_abs_F4_alpha,36,26.667454740758647,17.55943709929412,-9.108017641464533,-4.916965095813493,2.0611199140870874e-05,37.0,1.6696867533028126e-07,-0.8194941826355084,0.8194941826355084,0.0006636806123360422,4.480326121362547e-05
stat_Pz_ptp,36,73.37472219346859,62.65437979662565,-10.720342396842932,-4.875703652011975,2.334003089970073e-05,84.0,3.049665247090161e-05,-0.8126172753352675,0.8126172753352675,0.0007226432643945804,0.00036102654763346757
ratio_O1_beta_alpha,36,0.4226453558750017,0.7003739510990287,0.277728595224027,4.848790445527956,2.5310001367708416e-05,72.0,9.92763671092689e-06,0.8081317409189746,0.8081317409189746,0.0007232876922757951,0.0002049505243586853
band_rel_Fz_alpha,36,0.2391634201556981,0.18323855530610053,-0.055924864849597605,-4.844565892017387,2.5633847699410412e-05,73.0,1.0947667760774493e-05,-0.8074276486579071,0.8074276486579071,0.0007232876922757951,0.0002049505243586853
region_frontal_band_rel_mean_alpha,36,0.2154451466355234,0.15516116713674646,-0.06028397949877692,-4.839133508688897,2.605632680248206e-05,78.0,1.763927866704762e-05,-0.806522251437359,0.806522251437359,0.0007232876922757951,0.0002730696024417949
region_parietal_band_rel_mean_gamma,36,0.01115245267878242,0.015860888270541284,0.004708435591758865,4.818242742188161,2.774628886608948e-05,65.0,4.886940587311983e-06,0.8030404568943987,0.8030404568943987,0.0007445254179067344,0.00015130719895331332
band_abs_C3_beta,36,12.608080062763108,9.958994678759515,-2.649085384003595,-4.805454892846402,2.883388794071862e-05,31.0,6.912159733474255e-08,-0.8009091488074915,0.8009091488074915,0.0007487509610412416,2.7821442927233875e-05
stat_P3_std,36,11.35440076841583,9.947984933894306,-1.4064158345215259,-4.787164167643136,3.04632782310634e-05,69.0,7.36583024263382e-06,-0.7978606946067365,0.7978606946067365,0.0007577647102366041,0.00019280483898268466
stat_P3_rms,36,11.365592036526317,9.960281925408347,-1.4053101111179673,-4.780668080597858,3.106364650659371e-05,70.0,8.143309969455004e-06,-0.7967780134325244,0.7967780134325244,0.0007577647102366041,0.00019280483898268466
global_band_rel_std_theta,36,0.04891445496904302,0.05517426994042033,0.006259814971377316,4.749627008641603,3.4098157114560705e-05,88.0,4.331755917519331e-05,0.7916045013401622,0.7916045013401622,0.0008073240140359225,0.00043683509568512524
region_occipital_band_rel_mean_gamma,36,0.012599061547190904,0.018577078970371957,0.005978017423181054,4.681862230189186,4.1779415769698815e-05,54.0,1.458160113543272e-06,0.7803103715963436,0.7803103715963436,0.0009609265627030727,8.782126436320443e-05
stat_C4_ptp,36,63.71870636827565,56.99366549253481,-6.72504087574085,-4.670971369310855,4.316425878305743e-05,81.0,2.3269385565072298e-05,-0.7784952282183857,0.7784952282183857,0.0009652007866767008,0.0003286290417523368
stat_O2_skew,36,0.13009165160909608,0.028232870182228205,-0.10185878142686787,-4.659223901433836,4.470892299506197e-05,57.0,2.0539737306535244e-06,-0.7765373168997193,0.7765373168997193,0.000972721162460132,9.185826962089373e-05
ratio_T6_beta_alpha,36,0.5197766897696567,0.7518174037841225,0.23204071401446574,4.638373123888532,4.758627426972045e-05,84.0,3.049665247090161e-05,0.7730621873121798,0.7730621873121798,0.0010080776522927621,0.00036102654763346757
stat_C4_std,36,10.692641845920459,9.6151955720646,-1.0774462738558608,-4.590444588914158,5.491225469371268e-05,82.0,2.5482935598120093e-05,-0.7650740981518163,0.7650740981518163,0.001133445257139454,0.0003362911992866668
stat_C4_rms,36,10.703903394363998,9.62612199860191,-1.0777813957620879,-4.578326642367248,5.693441054994908e-05,82.0,2.5482935598120093e-05,-0.7630544403940008,0.7630544403940008,0.001138074889228724,0.0003362911992866668
global_band_rel_std_beta,36,0.04869820352615045,0.055670068741193214,0.006971865215042752,4.5723186617195815,5.7964062681214524e-05,81.0,2.3269385565072298e-05,0.7620531102033012,0.7620531102033012,0.001138074889228724,0.0003286290417523368
stat_C3_ptp,36,62.10109118656331,55.94887249274815,-6.152218693815162,-4.545289162097567,6.282839056772892e-05,104.0,0.00015944891492836177,-0.7575481936828345,0.7575481936828345,0.001194597543441439,0.000965085537724295
stat_Pz_std,36,12.31949857427586,10.606007809113533,-1.7134907651623235,-4.5362975373168615,6.453417477111925e-05,96.0,8.471510955132544e-05,-0.7560495895524767,0.7560495895524767,0.001194597543441439,0.0006557275306617017
band_abs_O1_theta,36,13.00051997713831,9.984038909251801,-3.016481067886511,-4.53236356425625,6.52947725607743e-05,98.0,9.956923895515501e-05,-0.7553939273758523,0.7553939273758523,0.001194597543441439,0.0006969846726860851
stat_Pz_rms,36,12.332172864012106,10.620545029795574,-1.7116278342165296,-4.517153443047251,6.831959259468515e-05,96.0,8.471510955132544e-05,-0.7528589071742107,0.7528589071742107,0.0012221616008604788,0.0006557275306617017
hemisphere_midline_band_rel_mean_gamma,36,0.012400136830995263,0.016192252201421474,0.0037921153704262114,4.501952354574979,7.148058818948736e-05,72.0,9.92763671092689e-06,0.7503253922807003,0.7503253922807003,0.0012464514458683234,0.0002049505243586853
band_rel_O1_gamma,36,0.01335790377444727,0.02012164143679092,0.006763737662343642,4.495921797910928,7.277418379603875e-05,55.0,1.636421075090766e-06,0.7493202995688077,0.7493202995688077,0.0012464514458683234,8.782126436320443e-05
band_rel_F3_alpha,36,0.2409569023604837,0.18427152822448215,-0.056685374136001596,-4.487473581676931,7.462527402316413e-05,99.0,0.00010785146150738001,-0.7479122636029539,0.7479122636029539,0.001251528033096815,0.0007295834160793354
band_rel_Fp1_alpha,36,0.19987364526098436,0.13141717125788377,-0.0684564740031006,-4.453375078118068,8.257994798453078e-05,95.0,7.807108340784907e-05,-0.742229179678297,0.742229179678297,0.0013566705740315772,0.0006348204256900859
band_abs_C4_alpha,36,32.823407615063815,22.173303528437046,-10.650104086626762,-4.434387618411903,8.736563474824363e-05,43.0,3.769237082451582e-07,-0.7390646030685992,0.7390646030685992,0.0013753348042896832,5.057059752289206e-05
hjorth_Fz_complexity,36,2.473356347151004,2.7744092897086503,0.3010529425576466,4.430271880160605,8.843845628748206e-05,91.0,5.596954724751413e-05,0.7383786466916232,0.7383786466916232,0.0013753348042896832,0.0004951152256510865
band_rel_A2A1_gamma,36,0.03138596907386233,0.047469632629416246,0.016083663555553917,4.428738336900907,8.88415028857932e-05,102.0,0.0001365947537124157,0.7381230561162767,0.7381230561162767,0.0013753348042896832,0.0008590529432694893
hemisphere_midline_band_rel_mean_alpha,36,0.28699918550663983,0.22082575975189025,-0.06617342575474959,-4.421599188958679,9.074175073445396e-05,79.0,1.935995533131063e-05,-0.7369331981515729,0.7369331981515729,0.0013782473460610461,0.0002940521517302841
stat_O1_std,36,12.456433979742918,10.79509209776797,-1.6613418819749475,-4.410043612775715,9.390266436108582e-05,89.0,4.721074947156012e-05,-0.7350072687956274,0.7350072687956274,0.0013998452742717423,0.00043683509568512524
hjorth_Cz_complexity,36,2.4258038061217,2.6825639607813194,0.25676015465961916,4.40332695326002,9.57894875243784e-05,91.0,5.596954724751413e-05,0.733887825541239,0.733887825541239,0.0014020097719477202,0.0004951152256510865
stat_O1_rms,36,12.46826809261378,10.810219082036603,-1.6580490105771792,-4.394545847972602,9.831261857722394e-05,89.0,4.721074947156012e-05,-0.7324243079951102,0.7324243079951102,0.001413243892047594,0.00043683509568512524
region_other_band_rel_mean_gamma,36,0.024727709466937545,0.033904743116773085,0.00917703364983555,4.387689414260942,0.00010032808587606738,102.0,0.0001365947537124157,0.7312815689852173,0.7312815689852173,0.0014169141952672674,0.0008590529432694893
band_abs_Fp2_gamma,36,1.8222507207903809,2.6772607991507433,0.8550100783603629,4.365922219073973,0.00010699978075799173,102.0,0.0001365947537124157,0.727653703178376,0.727653703178376,0.00145293140065266,0.0008590529432694893
band_rel_O2_gamma,36,0.011840219319934536,0.017032516503953002,0.005192297184018469,4.364022230555521,0.00010760242466691607,55.0,1.636421075090766e-06,0.7273370383240346,0.7273370383240346,0.00145293140065266,8.782126436320443e-05
band_abs_P4_theta,36,14.787658793070964,11.252468307019672,-3.53519048605129,-4.36185776654612,0.00010829302365112994,96.0,8.471510955132544e-05,-0.7269762944242038,0.7269762944242038,0.00145293140065266,0.0006557275306617017
stat_T3_ptp,36,54.7382159294853,48.874608481896445,-5.863607447588858,-4.350860304309577,0.00011186979506948048,82.0,2.5482935598120093e-05,-0.7251433840515064,0.7251433840515064,0.0014755487192839255,0.0003362911992866668
hemisphere_left_band_rel_mean_alpha,36,0.266513703405766,0.20410904826547444,-0.06240465514029149,-4.345530596106618,0.0001136447460814949,91.0,5.596954724751413e-05,-0.7242550993426975,0.7242550993426975,0.0014755487192839255,0.0004951152256510865
global_band_rel_mean_alpha,36,0.2701281968144813,0.21063280980882854,-0.05949538700565279,-4.326893697061774,0.00012007177130281254,86.0,3.6395329516381025e-05,-0.7211489495015545,0.7211489495015545,0.0015162577241679394,0.00039064320347582303
stat_P3_var,36,142.3221287621392,108.2383987366609,-34.08373002547828,-4.320298279769919,0.00012243074791418144,70.0,8.143309969455004e-06,-0.7200497132949712,0.7200497132949712,0.0015162577241679394,0.00019280483898268466
hjorth_P3_activity,36,142.3221287621392,108.2383987366609,-34.08373002547828,-4.320298279769919,0.00012243074791418144,70.0,8.143309969455004e-06,-0.7200497132949712,0.7200497132949712,0.0015162577241679394,0.00019280483898268466
ratio_T5_beta_alpha,36,0.6576231800357876,0.9178092826914526,0.2601861026556651,4.315101265631748,0.00012432158598029688,102.0,0.0001365947537124157,0.7191835442699702,0.7191835442699702,0.0015163466168808938,0.0008590529432694893
hjorth_F4_complexity,36,2.428074088402151,2.7223187187824704,0.2942446303803193,4.297914248906954,0.00013078139164822452,86.0,3.6395329516381025e-05,0.7163190414827485,0.7163190414827485,0.0015713286608480706,0.00039064320347582303
hemisphere_right_band_rel_mean_alpha,36,0.28301380176180796,0.21950448066960201,-0.06350932109220599,-4.279436261178806,0.0001380942831734751,92.0,6.088233203627169e-05,-0.7132393768551242,0.7132393768551242,0.0016235250507533091,0.0005269922289161152
ratio_F8_theta_alpha,36,0.9427828634386634,1.2859855666389386,0.3432027032002756,4.2768257191540675,0.00013915929006456934,98.0,9.956923895515501e-05,0.7128042865241976,0.7128042865241976,0.0016235250507533091,0.0006969846726860851
hemisphere_left_band_rel_mean_gamma,36,0.018328047819826807,0.02547410810666774,0.007146060286840932,4.269436212189637,0.00014221785274465078,93.0,6.61849626339972e-05,0.7115727019607508,0.7115727019607508,0.001635505306563484,0.0005549884887538307
ratio_O2_beta_alpha,36,0.379953632863107,0.5947412599453249,0.2147876270822179,4.251870913913138,0.0001497555572737733,107.0,0.00020027603022754192,0.7086451523165185,0.7086451523165185,0.0016979327268364438,0.001151587173808366
stat_C3_skew,36,0.01981567791916277,-0.04383204596701687,-0.06364772388617965,-4.243063977476959,0.000153681027886276,108.0,0.00021585807553492486,-0.7071773295716357,0.7071773295716357,0.0017182392701173912,0.0012237024704620742
band_abs_A2A1_gamma,36,0.7116205440404355,1.1694222340452483,0.4578016900048126,4.2249932460979736,0.00016205431278064323,113.0,0.00031152513111010194,0.7041655410152459,0.7041655410152459,0.001763288925247202,0.0016830720170713561
band_rel_Cz_delta,36,0.37804259818477004,0.4295403539771821,0.05149775579241207,4.224866149583112,0.0001621147608444119,104.0,0.00015944891492836177,0.7041443582542238,0.7041443582542238,0.001763288925247202,0.000965085537724295
band_rel_T5_alpha,36,0.2787409541773356,0.20658589113785955,-0.07215506303947597,-4.220340686320711,0.0001642815768863853,91.0,5.596954724751413e-05,-0.7033901143799282,0.7033901143799282,0.001763288925247202,0.0004951152256510865
band_abs_Fz_alpha,36,26.356215521953576,18.776280675912023,-7.579934846041553,-4.209810920485933,0.00016943380300511656,70.0,8.143309969455004e-06,-0.7016351534142572,0.7016351534142572,0.0017946606765673531,0.00019280483898268466
stat_C3_std,36,10.375688504421012,9.446067476633653,-0.9296210277873601,-4.203184508343637,0.00017275698840886865,113.0,0.00031152513111010194,-0.700530751390078,0.700530751390078,0.0017983635469089984,0.0016830720170713561
band_rel_P3_alpha,36,0.3551579563192175,0.2631491887328685,-0.09200876758634899,-4.1994675972047375,0.00017464892794457712,89.0,4.721074947156012e-05,-0.6999112661954652,0.6999112661954652,0.0017983635469089984,0.00043683509568512524
stat_Pz_skew,36,0.08741225957622932,0.011859171107913768,-0.07555308846831553,-4.195897282342183,0.00017648536671529302,105.0,0.00017213073442690074,-0.6993162137172242,0.6993162137172242,0.0017983635469089984,0.0010340689642810083
stat_C3_rms,36,10.387054613466479,9.458350273096771,-0.9287043403697063,-4.18940201568511,0.00017987495470982463,114.0,0.00033473377698101103,-0.6982336692803266,0.6982336692803266,0.0018099917317676104,0.0017611809834621821
stat_C3_var,36,115.30843926823201,94.23225228119581,-21.076186987036223,-4.157999952081187,0.0001971830936837693,116.0,0.0003858958662021905,-0.6929999920135084,0.6929999920135084,0.0019357608587248082,0.0019175689647701443
hjorth_C3_activity,36,115.30843926823201,94.23225228119581,-21.076186987036223,-4.157999952081187,0.0001971830936837693,116.0,0.0003858958662021905,-0.6929999920135084,0.6929999920135084,0.0019357608587248082,0.0019175689647701443
global_band_rel_mean_gamma,36,0.016560715414964594,0.022771987325092037,0.006211271910127443,4.132330992324236,0.00021253398964653897,83.0,2.7887086616829038e-05,0.688721831977672,0.688721831977672,0.002061323634523661,0.0003453708419468827
ratio_C4_beta_alpha,36,0.6133226705843007,0.7688873989537269,0.15556472836942634,4.1224148419114455,0.0002187723316353352,103.0,0.00014762088540010154,0.6870691403155397,0.6870691403155397,0.0020762532235664172,0.000914113944208321
stat_C4_skew,36,0.025095924163384836,-0.03634840448697777,-0.06144432865036258,-4.1216547767062535,0.0002192578228009501,113.0,0.00031152513111010194,-0.6869424627766956,0.6869424627766956,0.0020762532235664172,0.0016830720170713561
band_rel_Cz_alpha,36,0.26502929413380266,0.20906733237589,-0.055961961757912654,-4.11471644524091,0.00022373869830475077,99.0,0.00010785146150738001,-0.6857860741984143,0.6857860741984143,0.0020762532235664172,0.0007295834160793354
stat_T3_std,36,9.139466195393624,8.212811400512713,-0.9266547948809097,-4.113719131513313,0.0002243900999382339,97.0,9.186950046569109e-05,-0.6856198552517114,0.6856198552517114,0.0020762532235664172,0.0006784857603200122
stat_T6_skew,36,0.0834311976366405,0.019569161167831157,-0.06386203646880934,-4.090997138876336,0.00023974406734354793,116.0,0.0003858958662021905,-0.6818328564721096,0.6818328564721096,0.0021455878067998028,0.0019175689647701443
stat_C4_var,36,122.15118810488772,98.17981765318332,-23.97137045170442,-4.089543927144307,0.000240760270308251,89.0,4.721074947156012e-05,-0.6815906545240317,0.6815906545240317,0.0021455878067998028,0.00043683509568512524
hjorth_C4_activity,36,122.15118810488772,98.17981765318332,-23.97137045170442,-4.089543927144307,0.000240760270308251,89.0,4.721074947156012e-05,-0.6815906545240317,0.6815906545240317,0.0021455878067998028,0.00043683509568512524
stat_T3_rms,36,9.154346979873992,8.228073415223422,-0.9262735646505698,-4.087006562030588,0.0002425447085947603,97.0,9.186950046569109e-05,-0.6811677603379304,0.6811677603379304,0.0021455878067998028,0.0006784857603200122
band_abs_Pz_alpha,36,67.59132616090191,38.46040597844976,-29.130920182452137,-4.075933407864416,0.0002504846121945751,60.0,2.864719135686755e-06,-0.6793222346440534,0.6793222346440534,0.0021917403567025323,0.0001153049452113919
band_rel_Fp2_alpha,36,0.19678765912597654,0.13264284847172178,-0.06414481065425476,-4.067307799682221,0.0002568450671684094,92.0,6.088233203627169e-05,-0.6778846332732061,0.6778846332732061,0.0022232288072104255,0.0005269922289161152
region_parietal_band_rel_mean_alpha,36,0.3592664555247539,0.2719391221850332,-0.08732733333972076,-4.039852364419355,0.00027815934844347247,87.0,3.971919068135321e-05,-0.6733087273980344,0.6733087273980344,0.0023821093137978227,0.0004207098486643334
band_rel_F8_alpha,36,0.1929311038566965,0.13179309611963608,-0.061138007737060435,-4.02946062875576,0.00028666951334876554,72.0,9.92763671092689e-06,-0.6715767714519163,0.6715767714519163,0.0024084504878082607,0.0002049505243586853
hemisphere_midline_band_rel_mean_delta,36,0.3755556472744459,0.42494150505526923,0.049385857780823356,4.028800119637994,0.00028721894016098514,120.0,0.0005099171248730272,0.6714666865972028,0.6714666865972028,0.0024084504878082607,0.002386530729783645
stat_O1_var,36,171.88052492996954,133.0167799683376,-38.86374496163194,-4.0083763924036,0.00030472466384489483,89.0,4.721074947156012e-05,-0.6680627320672553,0.6680627320672553,0.002503095453011636,0.00043683509568512524
hjorth_O1_activity,36,171.88052492996954,133.0167799683376,-38.86374496163194,-4.0083763924036,0.00030472466384489483,89.0,4.721074947156012e-05,-0.6680627320672553,0.6680627320672553,0.002503095453011636,0.00043683509568512524
region_parietal_band_rel_mean_delta,36,0.341944736159557,0.40437815548242545,0.06243341932286855,3.975658986901435,0.0003349598419128625,118.0,0.0004440157790668309,0.6626098311432068,0.6626098311432068,0.0027236633610086295,0.0021532090490891495
corr_T5_Cz,36,0.45351747234056017,0.5058863891486042,0.0523689168080442,3.9632941323299735,0.0003471325096387584,104.0,0.00015944891492836177,0.6605490220466637,0.6605490220466637,0.0027932275052183183,0.000965085537724295
band_abs_P3_alpha,36,58.78203792088381,34.160630823758986,-24.621407097124816,-3.959992988328223,0.0003504546310895033,58.0,2.297310857102275e-06,-0.6599988313880194,0.6599988313880194,0.0027932275052183183,9.733343368249112e-05
band_rel_Cz_gamma,36,0.012965744917244618,0.016327772934431155,0.0033620280171865347,3.9541345522843234,0.0003564267757868214,96.0,8.471510955132544e-05,0.6590224252515393,0.6590224252515393,0.002812976024592071,0.0006557275306617017
region_central_band_rel_mean_alpha,36,0.2679396233500886,0.21353513381876177,-0.054404489531326795,-3.950433096460153,0.00036025109878724766,93.0,6.61849626339972e-05,-0.658405516068724,0.658405516068724,0.0028155547041139256,0.0005549884887538307
region_temporal_band_rel_mean_alpha,36,0.273079564583894,0.21739279750030235,-0.05568676708359161,-3.945980509736012,0.0003649045059218223,93.0,6.61849626339972e-05,-0.6576634182815683,0.6576634182815683,0.0028245012237217977,0.0005549884887538307
band_abs_T3_beta,36,9.612065686163602,7.834842795053946,-1.7772228911096597,-3.937360741496307,0.0003740801118680373,98.0,9.956923895515501e-05,-0.6562267902491421,0.6562267902491421,0.002867947524321619,0.0006969846726860851
stat_P4_skew,36,0.09485203019698879,0.02668329106105782,-0.06816873913593097,-3.924249648633648,0.0003884692275917492,121.0,0.000546065391972661,-0.6540416080993328,0.6540416080993328,0.0029501672472769633,0.0025263370145861617
stat_T5_skew,36,0.06567441853795317,-0.004613028655583971,-0.07028744719353713,-3.8806682277773703,0.00044027918232776586,124.0,0.0006687742134090513,-0.6467780379569434,0.6467780379569434,0.003304508938627784,0.002941875638220144
band_abs_Pz_beta,36,15.11373489766839,12.25318150715011,-2.8605533905182807,-3.878254016604939,0.0004433378451823611,76.0,1.4609657227993011e-05,-0.6463756694340103,0.6463756694340103,0.003304508938627784,0.0002352154813706875
band_abs_P4_alpha,36,65.01743484343633,40.28905388673779,-24.728380956698548,-3.8731164963269142,0.0004499157505356617,61.0,3.1939998734742403e-06,-0.6455194160544688,0.6455194160544688,0.003322772286066125,0.00011687135900667107
band_abs_Fz_beta,36,12.442066386107733,10.372560958976985,-2.069505427130748,-3.861824137181724,0.0004647095488681216,98.0,9.956923895515501e-05,-0.6436373561967539,0.6436373561967539,0.0033998041716395196,0.0006969846726860851
band_rel_Pz_alpha,36,0.3568048422304189,0.2701713915736803,-0.08663345065673857,-3.8587688278335732,0.0004687928733565052,85.0,3.3327145501971245e-05,-0.6431281379674878,0.6431281379674878,0.0033998041716395196,0.0003832621732726693
region_temporal_band_rel_mean_gamma,36,0.016679792413807983,0.02595081828584817,0.009271025872040185,3.853630302345828,0.00047573917290650273,66.0,5.422247340902686e-06,0.642271717013143,0.642271717013143,0.0034193753052654883,0.00016166330034913563
stat_F3_skew,36,-0.0021055525312896864,-0.07570815433082656,-0.07360260179953687,-3.842681011619255,0.0004908759724502132,99.0,0.00010785146150738001,-0.6404468352643029,0.6404468352643029,0.003496948299313466,0.0007295834160793354
hjorth_F3_complexity,36,2.4642052050923238,2.7543663014776474,0.2901610963853234,3.8347188358499933,0.0005021762278896855,123.0,0.0006253640458453447,0.6391198059735911,0.6391198059735911,0.0035258135029105557,0.002796766982808347
band_rel_Pz_delta,36,0.3456503096529595,0.4035423687734868,0.05789205912052738,3.8336671199815293,0.0005036876432729365,123.0,0.0006253640458453447,0.6389445199898696,0.6389445199898696,0.0035258135029105557,0.002796766982808347
band_rel_P3_gamma,36,0.01227592394040949,0.016585221553821104,0.00430929761341161,3.8290275124616953,0.0005104081360839336,101.0,0.00012632147991098464,0.6381712519824412,0.6381712519824412,0.003542056461616953,0.0008335146830192019
band_rel_P4_alpha,36,0.36583656802462533,0.2824967862485506,-0.08333978177607469,-3.8178450626097824,0.0005269660458988359,99.0,0.00010785146150738001,-0.6363075104301052,0.6363075104301052,0.0036257065551159222,0.0007295834160793354
band_rel_T6_beta,36,0.1150191287964504,0.1360283331028732,0.021009204306422835,3.812868053449806,0.0005345022622175964,128.0,0.0008708080276846886,0.6354780088890792,0.6354780088890792,0.0036463925515691957,0.0036701594884092897
stat_Cz_skew,36,0.010524110772319524,-0.04470503506702838,-0.055229145839347904,-3.8065619660114733,0.0005442014539496067,120.0,0.0005099171248730272,-0.6344269943279577,0.6344269943279577,0.0036574512503311854,0.002386530729783645
region_central_band_rel_mean_delta,36,0.38144450128302837,0.4261455116109722,0.04470101032794384,3.805912440733659,0.0005452101242729718,125.0,0.000714874971890822,0.6343187401132753,0.6343187401132753,0.0036574512503311854,0.003093948131032859
band_abs_F8_alpha,36,14.247376694358458,11.160774535322613,-3.0866021590358415,-3.801135628951811,0.0005526841815270569,115.0,0.0003594935988076031,-0.6335226048251719,0.6335226048251719,0.003670370519362904,0.0018432633569434428
